timestamp,machine,os,count,msg_bytes,mode,target_rate,stall_ms,stall_every,duration_s,throughput_rps,errors,min_us,p50_us,p99_us,p999_us,p9999_us,p99999_us,max_us,avg_us
2026-09-10,Jozefs-MacBook-Air.local,macOS,10,4,,,,,0.000444333,22505.6,,34,38,74,74,74,74,74,43
2026-09-10,Jozefs-MacBook-Air.local,macOS,10,4,,,,,0.000619292,16147.5,,57,61,71,71,71,71,71,61
2026-09-10|16:55:23,Jozefs-MacBook-Air.local,macOS,1000000,26,,,,,16.083,62177.5,,8,15,36,57,196,1787,3899,15
2026-09-10|17:43:38,Jozefs-MacBook-Air.local,macOS,1000000,26,,,,,16.0445,62326.5,,8,14,36,59,235,1863,7656,15
2026-09-11|00:57:48,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.64301,60863.9,,8,15,41,69,204,2286,2286,15
2026-09-11|00:57:54,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.63115,61306.6,,8,15,39,64,196,2050,2050,15
2026-09-11|00:57:57,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.63859,61028,,8,15,39,66,193,2267,2267,15
2026-09-11|00:58:44,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.64958,60621.4,,8,15,43,70,170,2472,2472,15
2026-09-11|01:01:24,Jozefs-MacBook-Air.local,macOS,10,6,,,,,0.000811709,12319.7,,67,80,100,100,100,100,100,80
2026-09-11|01:01:31,Jozefs-MacBook-Air.local,macOS,100,6,,,,,0.00649117,15405.6,,46,65,99,99,99,99,99,64
2026-09-11|01:01:33,Jozefs-MacBook-Air.local,macOS,1000,6,,,,,0.0399297,25044,,13,43,87,124,124,124,124,39
2026-09-11|01:01:35,Jozefs-MacBook-Air.local,macOS,10000,6,,,,,0.182303,54853.8,,8,15,58,88,118,118,118,17
2026-09-11|01:01:39,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.61975,61737.9,,8,15,40,69,114,2636,2636,15
2026-09-11|01:01:58,Jozefs-MacBook-Air.local,macOS,1000000,6,,,,,16.4534,60777.8,,8,15,36,58,151,2027,5969,15
2026-09-11|01:02:30,Jozefs-MacBook-Air.local,macOS,10,6,,,,,0.000735334,13599.3,,53,65,98,98,98,98,98,72
2026-09-11|01:02:34,Jozefs-MacBook-Air.local,macOS,100,6,,,,,0.00633704,15780.2,,33,65,101,101,101,101,101,62
2026-09-11|01:02:36,Jozefs-MacBook-Air.local,macOS,1000,6,,,,,0.0339574,29448.6,,12,33,67,112,112,112,112,33
2026-09-11|01:02:39,Jozefs-MacBook-Air.local,macOS,10000,6,,,,,0.184869,54092.4,,8,15,61,78,93,93,93,17
2026-09-11|01:02:47,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.62365,61589.7,,8,15,40,65,119,2021,2021,15
2026-09-11|01:03:07,Jozefs-MacBook-Air.local,macOS,1000000,6,,,,,16.2658,61478.5,,8,15,35,57,129,2013,2458,15
2026-09-11|01:04:36,Jozefs-MacBook-Air.local,macOS,10000,6,,,,,0.182181,54890.5,,9,15,62,85,126,126,126,17
2026-09-11|01:04:58,Jozefs-MacBook-Air.local,macOS,10,6,,,,,0.000760709,13145.6,,47,62,123,123,123,123,123,75
2026-09-11|01:05:00,Jozefs-MacBook-Air.local,macOS,100,6,,,,,0.00637242,15692.6,,39,65,91,91,91,91,91,63
2026-09-11|01:05:03,Jozefs-MacBook-Air.local,macOS,1000,6,,,,,0.0402087,24870.2,,13,42,81,105,105,105,105,39
2026-09-11|01:05:05,Jozefs-MacBook-Air.local,macOS,10000,6,,,,,0.194665,51370.3,,9,15,64,139,2546,2546,2546,18
2026-09-11|01:05:11,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,3.73213,26794.3,,8,15,48,87,527,1005117,1005117,36
2026-09-11|01:05:25,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,3.69363,27073.6,,8,15,47,72,177,1005183,1005183,36
2026-09-11|01:05:32,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,3.67421,27216.7,,8,15,43,72,120,1005192,1005192,36
2026-09-11|01:06:13,Jozefs-MacBook-Air.local,macOS,1000000,6,,,,,33.549,29807.1,,8,15,41,67,123,1005180,1005204,32
2026-09-11|01:09:36,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.64832,60667.8,,8,15,42,74,184,2039,2039,15
2026-09-11|01:09:52,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,3.72167,26869.7,,8,15,48,79,257,1005215,1005215,36
2026-09-11|01:10:02,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,2.67807,37340.3,,8,15,44,69,138,1005186,1005186,26
2026-09-11|01:10:36,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,3.6527,27377,,8,15,42,68,115,2005189,2005189,35
2026-09-11|01:11:17,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,21.688,4610.85,,8,15,47,73,146,10005212,10005212,216
2026-09-11|01:21:21,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.65995,60242.8,,8,15,40,73,264,2083,2083,16
2026-09-11|01:21:33,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,1.63904,61011.4,,8,15,43,69,213,1858,1858,15
2026-09-11|01:23:21,Jozefs-MacBook-Air.local,macOS,100000,6,,,,,21.704,4607.45,,8,15,44,73,232,10005265,10005265,216
